Time [s], Analyzer Name, Decoded Protocol Result
1.221575875000000,I2C," (0x22) + ACK
1.221643250000000,I2C,'18' (0x12) + ACK
1.221710500000000,I2C,'200' (0xC8) + ACK
1.221777750000000,I2C,'223' (0xDF) + ACK
1.221845125000000,I2C,'144' (0x90) + ACK
1.221912375000000,I2C,'248' (0xF8) + ACK
1.221979625000000,I2C,'8' (0x08) + ACK
1.222047000000000,I2C,'224' (0xE0) + ACK
1.222114250000000,I2C,T (0x54) + ACK
1.222181500000000,I2C,'17' (0x11) + ACK
1.222248875000000,I2C,'240' (0xF0) + ACK
1.222316125000000,I2C,'144' (0x90) + ACK
1.222383375000000,I2C,'249' (0xF9) + ACK
1.222450625000000,I2C,'160' (0xA0) + ACK
1.222518000000000,I2C,t (0x74) + ACK
1.222585250000000,I2C,'1' (0x01) + ACK
1.222652500000000,I2C,'240' (0xF0) + ACK
1.222719875000000,I2C,'2' (0x02) + ACK
1.222787125000000,I2C,'200' (0xC8) + ACK
1.222854375000000,I2C,'219' (0xDB) + ACK
1.222921750000000,I2C,'18' (0x12) + ACK
1.222989000000000,I2C,` (0x60) + ACK
1.223056250000000,I2C,'135' (0x87) + ACK
1.223123625000000,I2C," (0x22) + ACK
1.223190875000000,I2C,'18' (0x12) + ACK
1.223258125000000,I2C,V (0x56) + ACK
1.223325500000000,I2C,Y (0x59) + ACK
1.223392750000000,I2C," (0x22) + ACK
1.223460000000000,I2C,'18' (0x12) + ACK
1.223527375000000,I2C,D (0x44) + ACK
1.223594625000000,I2C,'186' (0xBA) + ACK
1.223661875000000,I2C," (0x22) + ACK
1.223729125000000,I2C,'128' (0x80) + ACK
1.223796500000000,I2C,'254' (0xFE) + ACK
1.223863750000000,I2C,'23' (0x17) + ACK
1.223931000000000,I2C,'237' (0xED) + ACK
1.223998375000000,I2C,l (0x6C) + ACK
1.224065625000000,I2C,'234' (0xEA) + NAK
